individu;campagne;comp_site;site;saison;longeur [cm];largeur [cm];epaisseur [cm];poid totale [mg];poids eaux [mg];poids tissus [mg];poids coquille [mg]
VD_H_87;3;VD_H;VD;Hiver;2.43;1.43;0.98;1525.2;660.7;412.7;451.8
VD_H_88;3;VD_H;VD;Hiver;2.83;1.61;1.31;2761.1;1320.8;631.3;809
VD_H_89;3;VD_H;VD;Hiver;2.61;1.5;1.11;2043.7;875.1;515.3;653.3
VD_H_90;3;VD_H;VD;Hiver;2.58;1.45;1.12;2005.1;1068.3;446.3;490.5
VD_H_91;3;VD_H;VD;Hiver;2.66;1.4;1.26;2193.9;1069.8;455.4;668.7
VD_H_92;3;VD_H;VD;Hiver;1.95;1.13;0.83;846;351.4;225.4;269.2
VD_H_93;3;VD_H;VD;Hiver;2.37;1.28;0.87;1277.1;586;321;370.1
VD_H_94;3;VD_H;VD;Hiver;3.18;1.85;1.26;3412;1572.1;704.5;1135.4
VD_H_95;3;VD_H;VD;Hiver;3.14;1.88;1.32;3700.4;1672.1;673.5;1354.8
VD_H_96;3;VD_H;VD;Hiver;3.31;1.73;1.21;3341.4;1583.8;696.2;1061.4
VD_H_97;3;VD_H;VD;Hiver;2.5;1.31;1.16;1738.9;729.8;429.9;579.2
VD_H_98;3;VD_H;VD;Hiver;2.81;1.63;0.97;2221.8;1099;445.5;677.3
VD_H_99;3;VD_H;VD;Hiver;2.65;1.48;1.05;1937.6;916.3;375.7;645.6
VD_H_100;3;VD_H;VD;Hiver;2.98;1.7;1.23;2879.8;1263.9;718.1;897.8
VD_H_101;3;VD_H;VD;Hiver;2.89;1.5;1.23;2517.3;1155.1;518.2;844
VD_H_102;3;VD_H;VD;Hiver;2.66;1.58;1.09;2148.9;902.4;561.3;685.2
VD_H_103;3;VD_H;VD;Hiver;2.9;1.6;1;2128.9;988;452.4;688.5
VD_H_104;3;VD_H;VD;Hiver;2.77;1.63;1.14;2500.3;1109.3;602;789
VD_H_105;3;VD_H;VD;Hiver;2.72;1.35;0.88;1588.4;611.4;416.1;560.9
VD_H_106;3;VD_H;VD;Hiver;2.98;1.73;1.32;3208.5;1449.9;782.7;975.9
VD_H_107;3;VD_H;VD;Hiver;3.17;1.86;1.33;3701.7;1752.1;747.9;1201.7
VD_H_108;3;VD_H;VD;Hiver;2.4;1.4;1.01;1554.4;705.9;401.1;447.4
VD_H_109;3;VD_H;VD;Hiver;2.61;1.52;0.94;1724.7;982.9;312.3;429.5
VD_H_110;3;VD_H;VD;Hiver;2.32;1.34;0.8;1113.2;425.8;315.1;372.3
VD_H_111;3;VD_H;VD;Hiver;3.05;1.83;1.36;3275.4;1441.2;795.1;1039.1
VD_H_112;3;VD_H;VD;Hiver;2.53;1.34;0.87;1412.4;549.3;369.1;494
VD_H_113;3;VD_H;VD;Hiver;3.05;1.84;1.38;3456.6;1642.9;753.2;1060.5
VD_H_114;3;VD_H;VD;Hiver;1.78;1.12;0.72;634.7;253.2;175.3;206.2
VD_H_115;3;VD_H;VD;Hiver;2.47;1.31;0.91;1310.7;616.4;322.4;371.9
VD_H_116;3;VD_H;VD;Hiver;2.4;1.39;0.87;1377.8;606.6;368.2;403
VD_H_117;3;VD_H;VD;Hiver;2.32;1.42;0.96;1082.3;271.5;293.7;517.1
VD_H_118;3;VD_H;VD;Hiver;3.27;1.77;1.39;3856.6;1703.8;838.8;1314
VD_H_119;3;VD_H;VD;Hiver;3.06;1.66;1.24;3010.3;1365.2;708.8;936.3
VD_H_120;3;VD_H;VD;Hiver;2.63;1.57;1.07;2030.9;969.8;515.1;546
SP_H_1;4;SP_H;SP;Hiver;;;;;;;
SP_H_2;4;SP_H;SP;Hiver;;;;;;;
SP_H_3;4;SP_H;SP;Hiver;;;;;;;
SP_H_4;4;SP_H;SP;Hiver;;;;;;;
SP_H_5;4;SP_H;SP;Hiver;;;;;;;
SP_H_6;4;SP_H;SP;Hiver;;;;;;;
SP_H_7;4;SP_H;SP;Hiver;;;;;;;
SP_H_8;4;SP_H;SP;Hiver;;;;;;;
SP_H_9;4;SP_H;SP;Hiver;;;;;;;
SP_H_10;4;SP_H;SP;Hiver;;;;;;;
SP_H_11;4;SP_H;SP;Hiver;;;;;;;
SP_H_12;4;SP_H;SP;Hiver;;;;;;;
SP_H_13;4;SP_H;SP;Hiver;;;;;;;
SP_H_14;4;SP_H;SP;Hiver;;;;;;;
SP_H_15;4;SP_H;SP;Hiver;;;;;;;
SP_H_16;4;SP_H;SP;Hiver;;;;;;;
SP_H_17;4;SP_H;SP;Hiver;;;;;;;
SP_H_18;4;SP_H;SP;Hiver;;;;;;;
SP_H_19;4;SP_H;SP;Hiver;;;;;;;
SP_H_20;4;SP_H;SP;Hiver;;;;;;;
SP_H_21;4;SP_H;SP;Hiver;;;;;;;
SP_H_22;4;SP_H;SP;Hiver;;;;;;;
SP_H_23;4;SP_H;SP;Hiver;;;;;;;
SP_H_24;4;SP_H;SP;Hiver;;;;;;;
SP_H_25;4;SP_H;SP;Hiver;;;;;;;
SP_H_26;4;SP_H;SP;Hiver;;;;;;;
SP_H_27;4;SP_H;SP;Hiver;;;;;;;
SP_H_28;4;SP_H;SP;Hiver;;;;;;;
SP_H_29;4;SP_H;SP;Hiver;;;;;;;
SP_H_30;4;SP_H;SP;Hiver;;;;;;;
SP_H_31;4;SP_H;SP;Hiver;;;;;;;
SP_H_32;4;SP_H;SP;Hiver;;;;;;;
SP_H_33;4;SP_H;SP;Hiver;;;;;;;
SP_H_34;4;SP_H;SP;Hiver;;;;;;;
SP_H_35;4;SP_H;SP;Hiver;;;;;;;
SP_H_36;4;SP_H;SP;Hiver;;;;;;;
SP_H_37;4;SP_H;SP;Hiver;;;;;;;
SP_H_38;4;SP_H;SP;Hiver;;;;;;;
SP_H_39;4;SP_H;SP;Hiver;;;;;;;
SP_H_40;4;SP_H;SP;Hiver;;;;;;;
SP_H_41;4;SP_H;SP;Hiver;;;;;;;
SP_H_42;4;SP_H;SP;Hiver;;;;;;;
SP_H_43;4;SP_H;SP;Hiver;;;;;;;
SP_H_44;4;SP_H;SP;Hiver;;;;;;;
SP_H_45;4;SP_H;SP;Hiver;;;;;;;
SP_H_46;4;SP_H;SP;Hiver;;;;;;;
SP_H_47;4;SP_H;SP;Hiver;;;;;;;
SP_H_48;4;SP_H;SP;Hiver;;;;;;;
SP_H_49;4;SP_H;SP;Hiver;;;;;;;
SP_H_50;4;SP_H;SP;Hiver;;;;;;;
SP_H_51;4;SP_H;SP;Hiver;;;;;;;
SP_H_52;4;SP_H;SP;Hiver;;;;;;;
SP_H_53;4;SP_H;SP;Hiver;;;;;;;
SP_H_54;4;SP_H;SP;Hiver;;;;;;;
SP_H_55;4;SP_H;SP;Hiver;;;;;;;
SP_H_56;4;SP_H;SP;Hiver;;;;;;;
SP_H_57;4;SP_H;SP;Hiver;;;;;;;
SP_H_58;4;SP_H;SP;Hiver;;;;;;;
SP_H_59;4;SP_H;SP;Hiver;;;;;;;
SP_H_60;4;SP_H;SP;Hiver;;;;;;;
SP_H_61;4;SP_H;SP;Hiver;;;;;;;
SP_H_62;4;SP_H;SP;Hiver;;;;;;;
SP_H_63;4;SP_H;SP;Hiver;;;;;;;
SP_H_64;4;SP_H;SP;Hiver;;;;;;;
SP_H_65;4;SP_H;SP;Hiver;;;;;;;
SP_H_66;4;SP_H;SP;Hiver;;;;;;;
SP_H_67;4;SP_H;SP;Hiver;;;;;;;
SP_H_68;4;SP_H;SP;Hiver;;;;;;;
SP_H_69;4;SP_H;SP;Hiver;;;;;;;
SP_H_70;4;SP_H;SP;Hiver;;;;;;;
SP_H_71;4;SP_H;SP;Hiver;;;;;;;
SP_H_72;4;SP_H;SP;Hiver;;;;;;;
SP_H_73;4;SP_H;SP;Hiver;;;;;;;
SP_H_74;4;SP_H;SP;Hiver;;;;;;;
SP_H_75;4;SP_H;SP;Hiver;;;;;;;
SP_H_76;4;SP_H;SP;Hiver;;;;;;;
SP_H_77;4;SP_H;SP;Hiver;;;;;;;
SP_H_78;4;SP_H;SP;Hiver;;;;;;;
SP_H_79;4;SP_H;SP;Hiver;;;;;;;
SP_H_80;4;SP_H;SP;Hiver;;;;;;;
SP_H_81;4;SP_H;SP;Hiver;;;;;;;
SP_H_82;4;SP_H;SP;Hiver;;;;;;;
SP_H_83;4;SP_H;SP;Hiver;;;;;;;
SP_H_84;4;SP_H;SP;Hiver;;;;;;;
SP_H_85;4;SP_H;SP;Hiver;;;;;;;
SP_H_86;4;SP_H;SP;Hiver;;;;;;;
SP_H_87;4;SP_H;SP;Hiver;;;;;;;
SP_H_88;4;SP_H;SP;Hiver;;;;;;;
SP_H_89;4;SP_H;SP;Hiver;;;;;;;
SP_H_90;4;SP_H;SP;Hiver;;;;;;;
SP_H_91;4;SP_H;SP;Hiver;;;;;;;
SP_H_92;4;SP_H;SP;Hiver;;;;;;;
SP_H_93;4;SP_H;SP;Hiver;;;;;;;
SP_H_94;4;SP_H;SP;Hiver;;;;;;;
SP_H_95;4;SP_H;SP;Hiver;;;;;;;
SP_H_96;4;SP_H;SP;Hiver;;;;;;;
SP_H_97;4;SP_H;SP;Hiver;;;;;;;
SP_H_98;4;SP_H;SP;Hiver;;;;;;;
SP_H_99;4;SP_H;SP;Hiver;;;;;;;
SP_H_100;4;SP_H;SP;Hiver;;;;;;;
SP_H_101;4;SP_H;SP;Hiver;;;;;;;
SP_H_102;4;SP_H;SP;Hiver;;;;;;;
SP_H_103;4;SP_H;SP;Hiver;;;;;;;
SP_H_104;4;SP_H;SP;Hiver;;;;;;;
SP_H_105;4;SP_H;SP;Hiver;;;;;;;
SP_H_106;4;SP_H;SP;Hiver;;;;;;;
SP_H_107;4;SP_H;SP;Hiver;;;;;;;
SP_H_108;4;SP_H;SP;Hiver;;;;;;;
SP_H_109;4;SP_H;SP;Hiver;;;;;;;
SP_H_110;4;SP_H;SP;Hiver;;;;;;;
SP_H_111;4;SP_H;SP;Hiver;;;;;;;
SP_H_112;4;SP_H;SP;Hiver;;;;;;;
SP_H_113;4;SP_H;SP;Hiver;;;;;;;
SP_H_114;4;SP_H;SP;Hiver;;;;;;;
SP_H_115;4;SP_H;SP;Hiver;;;;;;;
SP_H_116;4;SP_H;SP;Hiver;;;;;;;
SP_H_117;4;SP_H;SP;Hiver;;;;;;;
SP_H_118;4;SP_H;SP;Hiver;;;;;;;
SP_H_119;4;SP_H;SP;Hiver;;;;;;;
SP_H_120;4;SP_H;SP;Hiver;;;;;;;
