pool;campagne;comp_site;site;saison;poid total chair  [mg];poids total coquille [mg];longeur moy [cm];largeur moy [cm];epaisseur moy [cm];poid chair [mg];poid coquille  [mg];met_chaire;Ag;Al;As;Ba;Be;Ca;Cd;Co;Cr;Cu;Fe;Hg;K;Mg;Mn;Mo;Na;Ni;P;Pb;S;Sb;Se;Si;Sn;Sr;Ti;V;Zn;tot;commentaire
SP_A_Met_4;2;SP_A;SP;Automne;3576.9;5893.5;2.8;1.52;1.02;413.5;365.2;5;0.149;1366.318;13.277;40.833;0.063;21228.227;1.667;2.519;2.815;12.648;2040.468;0.101;2776.753;1346.133;765.128;0.535;2024.194;7.369;10016.329;1.831;7491.157;0;4.468;802.411;0.213;80.262;36.266;2.25;66.98;50131.364;OK
SP_A_Met_5;2;SP_A;SP;Automne;3641;5707.6;2.8;1.54;1.03;411;321.1;6;0.13;1165.231;12.818;34.942;0.071;16337.553;1.662;2.227;2.593;12.606;1723.588;0.071;2588.963;1237.072;617.22;0.448;1983.284;7.863;9349.094;1.998;7333.514;0.073;4.314;879.499;0.329;64.685;31.521;1.942;67.032;43462.343;OK
SP_A_Met_6;2;SP_A;SP;Automne;3326.2;5153.3;2.66;1.47;1;354.4;342;7;0.09;1444.259;14.723;40.394;0.069;18294.573;1.637;2.59;3.003;12.776;2209.308;0.14;2754.166;1375.898;725.156;0.474;2093.349;8.131;10166.039;1.981;7549.607;0.6;4.045;856.456;0.44;72.942;38.36;2.361;69.782;47743.349;OK
SP_A_Met_7;2;SP_A;SP;Automne;3524.1;5750;2.76;1.51;1.05;398.7;381.5;8;0.235;1322.094;12.438;42.866;0.052;29321.33;1.616;2.563;2.696;13.582;2313.763;0.156;2763.527;1339.588;794.294;0.494;2039.059;7.334;9901.453;2.294;7551.891;0.197;4.379;807.406;0.192;95.699;34.888;2.15;69.229;58447.465;OK
SP_A_Met_8;2;SP_A;SP;Automne;3384;5610.6;2.67;1.43;1.01;363.2;398.5;9;0.151;1396.127;13.285;47.228;0.051;17127.022;1.638;3.112;2.929;13.458;2291.825;0.072;2729.276;1336.731;1052.732;0.491;1906.383;8.416;9986.498;2.423;7612.895;0;4.465;815.872;0.449;77.512;37.835;2.488;74.162;46545.526;OK
SP_A_Met_9;2;SP_A;SP;Automne;3450.3;4829;2.67;1.42;0.94;368;337.5;10;0.099;1246.94;13.242;44.68;0.066;11768.882;1.576;2.557;2.618;12.45;2249.93;0.129;2577.327;1290.193;791.509;0.42;1840.6;7.651;9745.656;2.086;7662.578;0;4.54;845.451;0.352;52.99;33.313;2.05;70.163;40270.048;OK
SP_A_Met_10;2;SP_A;SP;Automne;3466.6;6203.4;2.78;1.47;1.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Lyophilisé mais pas analysé (blanc à la place). 
SP_A_Met_11;2;SP_A;SP;Automne;3272.8;5627.3;2.61;1.42;1.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
SP_A_Met_12;2;SP_A;SP;Automne;3367.1;5615.6;2.59;1.41;1.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
SP_A_Met_13;2;SP_A;SP;Automne;3398;5523.9;2.65;1.47;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
SP_A_Met_14;2;SP_A;SP;Automne;3351.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
SP_A_Met_15;2;SP_A;SP;Automne;3666.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_H_Met_1;3;VD_H;VD;Hiver;3496.8;5577.5;2.71;1.56;1.04;446.4;324.2;58;0.286;2849.622;12.793;53.266;0.038;24146.303;0.807;3.519;5.866;3.644;5739.461;0.223;3285.668;1720.65;632.324;0.578;1913.77;9.405;11231.746;4.831;7425.037;0.059;3.928;907.823;0.72;103.462;68.488;5.024;80.64;60209.981;OK
VD_H_Met_2;3;VD_H;VD;Hiver;3488.1;3786.4;2.78;1.52;1.03;441.6;336.5;59;0.264;2791.205;12.143;48.053;0.024;24943.97;0.842;3.153;5.653;4.377;5257.483;0.199;3291.672;1694.686;567.479;0.495;1982.571;8.899;10234.062;4.041;7396.582;0.096;3.808;989.661;0.628;95.735;62.726;4.862;81.236;59486.605;OK
VD_H_Met_3;3;VD_H;VD;Hiver;3775.1;4141.6;2.83;1.61;1.08;445.3;340.8;60;0.254;3003.713;12.506;56.402;0.034;12555.726;0.808;3.793;6.203;20.094;6038.917;0.178;3263.87;1791.471;755.573;0.556;1844.805;9.553;11734.422;4.83;7775.229;0.265;3.78;963.693;0.493;66.159;69.651;5.351;84.658;50072.987;OK
VD_H_Met_4;3;VD_H;VD;Hiver;3399.7;3729.2;2.64;1.52;1.03;428.1;317.3;61;0.228;2514.065;11.97;43.989;0.023;17630.868;0.736;2.642;4.933;19.049;5318.029;0.237;3097.425;1655.063;448.894;0.527;1879.971;8.046;11641.183;3.991;7819.691;0.182;3.356;1020.576;0.698;71.817;56.937;4.218;76.83;53336.174;OK
VD_H_Met_5;3;VD_H;VD;Hiver;3477.1;3788.5;2.66;1.5;1.1;393;319;62;0.188;2472.247;10.887;36.922;0.032;13281.183;0.786;2.771;4.994;18.867;4472.243;0.16;3179.908;1711.948;472.913;0.568;2076.749;8.896;11609.51;3.758;8597.583;0.043;4.577;1021.416;0.596;55.845;57.443;4.25;82.532;49189.815;OK
VD_H_Met_6;3;VD_H;VD;Hiver;3685.7;4015.8;2.76;1.55;1.11;471.2;330.8;63;0.239;2009.379;12.714;52.176;0.026;18135.437;0.701;3.391;4.265;16.762;5480.431;0.192;3044.218;1454.726;654.965;0.477;2026.237;8.031;10563.156;4.123;7554.196;0.271;4.052;944.745;0.495;87.722;50.126;3.807;79.888;52196.948;OK
VD_H_Met_7;3;VD_H;VD;Hiver;3528.6;3875;2.72;1.57;1.08;420.3;333.4;64;0.215;2030.016;11.109;47.327;0.027;24919.049;0.745;3.529;4.109;14.368;4829.07;0.198;3002.908;1492.285;815.903;0.535;2207.059;8.556;10737.893;3.99;7883.431;0;4.569;973.036;0.318;95.79;50.233;3.686;78.726;59218.68;OK
VD_H_Met_8;3;VD_H;VD;Hiver;3778.1;4038.8;2.81;1.55;1.06;453.1;344.7;65;0.202;1857.423;10.637;42.061;0.019;17020.393;0.719;3.513;3.888;14.85;4737.267;0.213;2968.615;1462.085;739.947;0.569;2124.535;8.781;10336.195;4.017;8019.815;0;3.87;966.505;0.31;69.765;46.083;3.376;78.161;50523.814;OK
VD_H_Met_9;3;VD_H;VD;Hiver;4047.6;4169.5;2.72;1.54;1.11;462.2;345.1;66;0.26;1965.004;13.723;50.722;0.017;14492.555;0.844;3.499;4.098;16.046;5615.885;0.142;3059.443;1485.081;747.607;0.576;2094.77;8.78;12131.422;4.043;7927.853;0;3.989;978.038;0.475;69.882;47.858;3.64;78.866;50805.118;OK
