pool;campagne;comp_site;site;saison;poid total chair  [mg];poids total coquille [mg];longeur moy [cm];largeur moy [cm];epaisseur moy [cm];poid chair [mg];poid coquille  [mg];met_coquille ;Ag;Al;As;Ba;Be;Ca;Cd;Co;Cr;Cu;Fe;Hg;K;Mg;Mn;Mo;Na;Ni;P;Pb;S;Sb;Se;Si;Sn;Sr;Ti;V;Zn;tot;commentaire
SP_A_Met_4;2;SP_A;SP;Automne;3576.9;5893.5;2.8;1.52;1.02;413.5;365.2;25;0.045;252.813;1.159;76.544;0.004;326295.322;0.061;0.27;0.337;1.438;489.344;0.204;211.323;99.219;89.756;0.113;2269.74;0.908;199.866;0.17;326.42;0.337;-0.004;259.211;0.308;1062.759;4.63;0.305;6.258;331648.86;OK
SP_A_Met_5;2;SP_A;SP;Automne;3641;5707.6;2.8;1.54;1.03;411;321.1;26;0.016;221.158;1.517;87.039;0.006;340632.415;0.009;0.239;0.483;1.316;505.591;0.102;192.298;83.663;72.771;0.042;2409.387;0.787;108.807;0.555;222.823;0;-0.004;285.784;0.209;1253.223;7.223;0.331;2.977;346090.767;OK
SP_A_Met_6;2;SP_A;SP;Automne;3326.2;5153.3;2.66;1.47;1;354.4;342;27;0.047;252.657;1.186;77.215;0.007;325290.279;0.046;0.25;0.582;1.69;716.248;0.245;201.454;95.68;73.737;0.092;2347.928;0.995;218.68;0.336;380.376;0.234;0.055;252.929;0.141;1104.293;4.728;0.441;3.55;331026.101;OK
SP_A_Met_7;2;SP_A;SP;Automne;3524.1;5750;2.76;1.51;1.05;398.7;381.5;28;0.013;257.561;1.367;80.388;0.006;310529.236;0.037;0.271;0.664;1.492;659.874;0.121;217.154;110.038;86.11;0.056;2302.651;0.747;213.171;0.456;331.045;0.539;-0.004;247.78;0.08;1094.525;4.93;0.373;4.145;316144.826;OK
SP_A_Met_8;2;SP_A;SP;Automne;3384;5610.6;2.67;1.43;1.01;363.2;398.5;29;0.032;193.913;1.092;78.509;0.005;320445.082;0.036;0.248;0.378;1.404;468.49;0.183;170.217;81.674;68.087;0.092;2424.536;0.747;152.821;0.353;270.258;0;0.491;226.412;0.076;1105.53;3.464;0.385;3.352;325697.867;OK
SP_A_Met_9;2;SP_A;SP;Automne;3450.3;4829;2.67;1.42;0.94;368;337.5;30;0.064;149.048;1.03;76.21;0.008;320287.032;0.028;0.292;0.271;1.282;449.89;0.244;159.608;63.009;99.096;0.057;2320.546;0.816;161.561;0.033;235.077;0.224;0.254;220.784;0.038;1141.595;2.893;0.247;3.679;325374.916;OK
SP_A_Met_10;2;SP_A;SP;Automne;3466.6;6203.4;2.78;1.47;1.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Lyophilisé mais pas analysé (blanc à la place). 
SP_A_Met_11;2;SP_A;SP;Automne;3272.8;5627.3;2.61;1.42;1.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
SP_A_Met_12;2;SP_A;SP;Automne;3367.1;5615.6;2.59;1.41;1.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
SP_A_Met_13;2;SP_A;SP;Automne;3398;5523.9;2.65;1.47;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
SP_A_Met_14;2;SP_A;SP;Automne;3351.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
SP_A_Met_15;2;SP_A;SP;Automne;3666.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_H_Met_1;3;VD_H;VD;Hiver;3496.8;5577.5;2.71;1.56;1.04;446.4;324.2;42;0.094;416.698;3.337;66.295;0.015;306025.781;0.019;0.329;0.808;2.5;1795.647;0.173;282.896;154.818;71.233;0.127;2314.418;1.088;485.227;0.568;409.632;0;-0.003;486.728;0.167;1094.516;12.007;0.829;4.965;313630.912;OK
VD_H_Met_2;3;VD_H;VD;Hiver;3488.1;3786.4;2.78;1.52;1.03;441.6;336.5;43;0;397.649;2.508;66.325;0.011;300860.038;0.024;0.287;0.655;0.242;1565.884;0.263;284.619;139.001;56.566;0.043;2253.036;1;458.546;0.62;390.854;0;0.214;486.955;0.251;1091.241;9.373;0.657;4.098;308070.96;OK
VD_H_Met_3;3;VD_H;VD;Hiver;3775.1;4141.6;2.83;1.61;1.08;445.3;340.8;44;0.015;433.781;1.705;69.384;0.007;305962.981;0.031;0.159;0.751;2.135;1325.336;0.303;292.935;150.616;43.983;0.111;2458.684;0.969;409.024;0.556;262.425;0.064;0.132;484.272;0.413;1184.634;10.961;0.81;3.798;313100.975;OK
VD_H_Met_4;3;VD_H;VD;Hiver;3399.7;3729.2;2.64;1.52;1.03;428.1;317.3;45;0.099;349.275;1.896;60.317;0.012;306532.59;0.036;0.379;0.867;2.153;1353.665;0.281;253.518;163.18;57.651;0.057;2325.53;1.036;375.195;0.519;310.826;0;-0.003;444.417;0.313;1069.312;8.539;0.646;3.494;313315.8;OK
VD_H_Met_5;3;VD_H;VD;Hiver;3477.1;3788.5;2.66;1.5;1.1;393;319;46;0.132;598.07;2.088;52.763;0.012;279490.453;0.022;0.457;1.101;2.161;1479.659;0.325;389.388;202.684;64.584;0.121;2129.998;1.365;415.771;1.19;339.544;0.541;0.37;493.141;0.205;899.071;14.534;1.037;5.085;286585.872;OK
VD_H_Met_6;3;VD_H;VD;Hiver;3685.7;4015.8;2.76;1.55;1.11;471.2;330.8;47;0.053;384.681;2.272;81.237;0.011;308690.152;0.03;0.262;0.702;2.29;2158.732;0.246;268.814;128.194;77.857;0.053;2475.515;0.883;757.804;0.839;213.164;0.503;-0.003;460.888;0.12;1263.458;9.13;0.677;3.728;316982.292;OK
VD_H_Met_7;3;VD_H;VD;Hiver;3528.6;3875;2.72;1.57;1.08;420.3;333.4;48;0.03;543.91;2.546;64.251;0.013;291950.884;0.043;0.569;0.974;2.549;2127.204;0.207;358.557;191.57;91.605;0.086;2135.135;1.353;653.761;0.886;333.875;0.571;0.01;628.298;0.512;1004.302;15.823;0.913;5.079;300115.516;OK
VD_H_Met_8;3;VD_H;VD;Hiver;3778.1;4038.8;2.81;1.55;1.06;453.1;344.7;49;0.157;458.56;2.779;68.279;0.021;303353.256;0.027;0.304;0.856;2.508;1964.553;0.167;310.98;161.989;82.9;0.07;2234.497;1.183;579.679;0.923;458.489;0.907;0.325;489.755;0.14;1074.611;12.129;0.73;4.096;311264.87;OK
VD_H_Met_9;3;VD_H;VD;Hiver;4047.6;4169.5;2.72;1.54;1.11;462.2;345.1;50;0.019;390.426;2.139;72.396;0.013;303978.469;0.036;0.34;0.712;2.599;2275.448;0.175;270.548;161.467;66.878;0.106;2380.535;1.193;662.574;0.682;462.483;0;-0.003;533.332;0.092;1175.98;11.864;0.711;4.475;312455.689;OK
